Subject,PictureName,EmpathyRatings
11,E_amb_los15,3
12,E_amb_los15,5
13,E_amb_los15,2
15,E_amb_los15,4
18,E_amb_los15,1
20,E_amb_los15,4
21,E_amb_los15,5
22,E_amb_los15,1
23,E_amb_los15,1
24,E_amb_los15,4
26,E_amb_los15,4
28,E_amb_los15,4
29,E_amb_los15,1
30,E_amb_los15,4
31,E_amb_los15,3
32,E_amb_los15,1
33,E_amb_los15,2
34,E_amb_los15,4
35,E_amb_los15,2
36,E_amb_los15,5
37,E_amb_los15,3
38,E_amb_los15,3
39,E_amb_los15,3
40,E_amb_los15,4
41,E_amb_los15,3
42,E_amb_los15,5
45,E_amb_los15,3
46,E_amb_los15,3
47,E_amb_los15,2
48,E_amb_los15,1
49,E_amb_los15,3
50,E_amb_los15,4
51,E_amb_los15,3
52,E_amb_los15,3
53,E_amb_los15,2
54,E_amb_los15,4
55,E_amb_los15,5
56,E_amb_los15,3
57,E_amb_los15,3
58,E_amb_los15,4
59,E_amb_los15,3
60,E_amb_los15,3
61,E_amb_los15,5
62,E_amb_los15,3
63,E_amb_los15,4
64,E_amb_los15,2
65,E_amb_los15,2
11,E_amb_los17,2
12,E_amb_los17,5
13,E_amb_los17,3
15,E_amb_los17,4
18,E_amb_los17,4
20,E_amb_los17,5
21,E_amb_los17,3
22,E_amb_los17,5
23,E_amb_los17,3
24,E_amb_los17,3
26,E_amb_los17,2
28,E_amb_los17,4
29,E_amb_los17,3
30,E_amb_los17,1
31,E_amb_los17,3
32,E_amb_los17,1
33,E_amb_los17,3
34,E_amb_los17,2
35,E_amb_los17,3
36,E_amb_los17,4
37,E_amb_los17,3
38,E_amb_los17,3
39,E_amb_los17,3
40,E_amb_los17,2
41,E_amb_los17,3
42,E_amb_los17,4
45,E_amb_los17,2
46,E_amb_los17,3
47,E_amb_los17,3
48,E_amb_los17,3
49,E_amb_los17,2
50,E_amb_los17,3
51,E_amb_los17,3
52,E_amb_los17,3
53,E_amb_los17,2
54,E_amb_los17,4
55,E_amb_los17,4
56,E_amb_los17,2
57,E_amb_los17,3
58,E_amb_los17,3
59,E_amb_los17,3
60,E_amb_los17,3
61,E_amb_los17,5
62,E_amb_los17,3
63,E_amb_los17,3
64,E_amb_los17,3
65,E_amb_los17,3
11,E_amb_los2,2
12,E_amb_los2,5
13,E_amb_los2,3
15,E_amb_los2,4
18,E_amb_los2,4
20,E_amb_los2,3
21,E_amb_los2,5
22,E_amb_los2,1
23,E_amb_los2,2
24,E_amb_los2,2
26,E_amb_los2,2
28,E_amb_los2,2
29,E_amb_los2,5
30,E_amb_los2,3
31,E_amb_los2,2
32,E_amb_los2,1
33,E_amb_los2,3
34,E_amb_los2,3
35,E_amb_los2,3
36,E_amb_los2,4
37,E_amb_los2,3
38,E_amb_los2,2
39,E_amb_los2,3
40,E_amb_los2,3
41,E_amb_los2,5
42,E_amb_los2,3
45,E_amb_los2,4
46,E_amb_los2,3
47,E_amb_los2,4
48,E_amb_los2,4
49,E_amb_los2,3
50,E_amb_los2,4
51,E_amb_los2,2
52,E_amb_los2,3
53,E_amb_los2,3
54,E_amb_los2,4
55,E_amb_los2,5
56,E_amb_los2,3
57,E_amb_los2,4
58,E_amb_los2,3
59,E_amb_los2,4
60,E_amb_los2,2
61,E_amb_los2,5
62,E_amb_los2,3
63,E_amb_los2,3
64,E_amb_los2,1
65,E_amb_los2,2
11,E_amb_los22,4
12,E_amb_los22,5
13,E_amb_los22,2
15,E_amb_los22,4
18,E_amb_los22,5
